Month,fluid_temp,ground_temp,air_umidity,air_temp,gas_umidity,gas_temp,dm3_gas,bio_id,phase_test
1,22.301796787448637,22.85473290997385,84.49480762047068,23.306350392230108,79.38295566502462,27.561477832512313,0.00021666044079193125,1.0,1.0
2,23.126128907757625,22.98642223079892,80.23824778077962,24.022616750289462,85.51277777777777,27.498115468409587,0.0001852566576611347,1.0,1.0
3,23.459298526585524,23.99439141575913,88.31076233183857,22.54807815502883,84.84969056603774,23.755754716981134,0.0017680973734785395,1.0,2.0
4,20.58415935178933,21.01694800810263,90.05199189736665,18.774206617150572,82.265,18.316499999999998,0.0004794058068872383,1.0,2.0
5,18.249671393981323,18.479218263576616,84.67443791075752,16.14078173642338,70.48019685039371,17.65548589341693,0.00018332756831546178,1.0,1.8478035281909373
6,15.777087139845396,15.928640196767393,89.64852424455377,13.860224877020379,82.15662532637076,13.880190538764785,0.0,1.0,1.6665495432185524
7,15.20207784773898,15.234487693188324,83.22438465941615,13.973898111047511,90.3395983935743,13.045429718875502,0.0,1.0,0.8620492272467086
8,15.469959250203749,15.458459657701711,86.80228198859005,15.661287693561533,83.15020374898126,15.319910350448247,8.149959250203749e-06,1.0,0.0
9,18.89428571428571,18.655934065934066,87.37252747252747,18.76813186813187,82.24516483516484,19.667857142857144,0.0,1.0,0.0
10,18.502378378378378,18.712864864864866,92.58918918918918,16.842702702702702,83.98751351351352,17.591945945945948,0.0,1.0,0.0
11,19.731682310469314,-14.675628158844765,77.75393501805054,21.85407942238267,80.41975451263538,23.942758122743683,8.664259927797833e-05,1.0,1.0
12,21.739520620373632,22.396669016566797,78.16760662671837,22.772294677476207,81.74708818635607,26.715765472312704,0.00012336975678533665,1.0,1.0
