,index,date,hour,fluid_temp,ground_temp,air_umidity,air_temp,gas_umidity,gas_temp,dm3_gas,bio_id,phase_test,Month,Hour
0,5109,2022-05-01,00:41:30,20.06,20.0,97.9,16.7,,,0.0,1,2,5,0
1,5110,2022-05-01,01:33:58,20.06,20.0,97.7,16.8,82.88,16.39,0.0,1,2,5,1
2,5111,2022-05-01,01:57:02,20.06,20.0,97.8,16.8,82.88,16.4,0.0,1,2,5,1
3,5112,2022-05-01,02:56:59,20.06,20.0,97.8,16.8,83.2,16.47,0.0,1,2,5,2
4,5113,2022-05-01,03:11:59,20.06,20.0,97.8,16.9,83.18,16.49,0.01,1,2,5,3
5,5114,2022-05-01,03:27:01,20.06,20.0,97.9,16.9,83.23,16.49,0.0,1,2,5,3
6,5115,2022-05-01,03:57:01,20.06,20.0,97.7,17.0,83.45,16.65,0.0,1,2,5,3
7,5116,2022-05-01,04:12:00,20.06,20.0,97.9,17.0,83.38,16.7,0.0,1,2,5,4
8,5117,2022-05-01,04:42:01,20.06,20.0,98.0,17.1,83.45,16.9,0.0,1,2,5,4
9,5118,2022-05-01,04:57:08,20.06,20.0,97.9,17.1,,,0.0,1,2,5,4
10,5119,2022-05-01,04:57:30,20.06,20.0,97.9,17.1,,,0.0,1,2,5,4
11,5120,2022-05-01,06:42:00,20.06,20.0,98.1,17.1,,,0.01,1,2,5,6
12,5121,2022-05-01,07:29:02,20.06,20.0,97.3,17.5,,,0.0,1,2,5,7
13,5122,2022-05-01,07:44:02,20.06,20.0,96.8,17.9,,,0.0,1,2,5,7
14,5123,2022-05-01,08:27:30,20.06,20.0,94.2,19.0,,,0.0,1,2,5,8
15,5124,2022-05-01,08:57:30,20.0,20.0,92.4,19.9,,,0.01,1,2,5,8
16,5125,2022-05-01,10:35:30,19.94,20.0,81.8,23.9,,,0.0,1,2,5,10
17,5126,2022-05-01,10:57:34,19.94,20.0,78.9,24.4,,,0.0,1,2,5,10
18,5127,2022-05-01,11:27:30,19.94,20.0,75.5,24.9,,,0.0,1,2,5,11
19,5128,2022-05-01,11:42:29,19.94,20.0,71.2,27.2,,,0.0,1,2,5,11
20,5129,2022-05-01,12:42:29,19.94,20.0,63.9,27.1,,,0.0,1,2,5,12
21,5130,2022-05-01,13:12:30,19.94,19.94,63.1,28.8,,,0.01,1,2,5,13
22,5131,2022-05-01,13:57:29,19.94,19.94,66.7,27.0,,,0.0,1,2,5,13
23,5132,2022-05-01,14:04:44,19.94,20.0,65.9,27.1,,,0.0,1,2,5,14
24,5133,2022-05-01,15:03:42,19.94,19.94,70.4,26.2,,,0.0,1,2,5,15
25,5134,2022-05-01,15:18:15,19.94,19.94,74.9,25.2,,,0.0,1,2,5,15
26,5135,2022-05-01,15:33:15,19.94,19.94,76.7,24.8,82.79,27.46,0.0,1,2,5,15
27,5136,2022-05-01,15:48:13,19.94,19.94,79.0,24.0,,,0.0,1,2,5,15
28,5137,2022-05-01,16:03:25,19.94,19.94,78.9,24.4,,,0.0,1,2,5,16
29,5138,2022-05-01,17:03:16,19.94,19.94,76.6,23.7,,,0.0,1,2,5,17
30,5139,2022-05-01,17:18:16,19.94,19.94,78.9,23.3,,,0.0,1,2,5,17
31,5140,2022-05-01,17:48:15,19.94,19.94,86.1,21.8,,,0.0,1,2,5,17
32,5141,2022-05-01,18:03:16,19.94,19.94,87.2,21.5,,,0.0,1,2,5,18
33,5142,2022-05-01,18:08:51,19.94,20.0,88.2,21.1,,,0.0,1,2,5,18
34,5143,2022-05-01,18:53:47,19.94,19.94,90.3,20.5,,,0.0,1,2,5,18
35,5144,2022-05-01,19:18:46,19.94,19.94,91.7,20.1,,,0.0,1,2,5,19
36,5145,2022-05-01,19:33:45,19.94,19.94,92.7,19.8,,,0.0,1,2,5,19
37,5146,2022-05-01,20:04:17,19.94,19.94,93.6,19.6,,,0.0,1,2,5,20
38,5147,2022-05-01,21:03:46,19.94,20.0,94.5,19.4,,,0.0,1,2,5,21
39,5148,2022-05-01,21:33:46,19.94,20.0,94.9,19.4,,,0.0,1,2,5,21
40,5149,2022-05-01,22:03:46,19.94,20.0,94.9,19.3,,,0.0,1,2,5,22
41,5150,2022-05-01,23:03:48,19.94,20.0,95.7,19.3,,,0.0,1,2,5,23
42,5151,2022-05-01,23:52:46,19.94,20.0,95.8,19.2,,,0.0,1,2,5,23
43,5152,2022-05-02,03:19:51,19.94,20.0,97.6,18.4,,,0.0,1,2,5,3
44,5153,2022-05-02,04:19:54,19.94,20.0,97.4,18.0,82.79,17.72,0.0,1,2,5,4
45,5154,2022-05-02,04:49:51,19.94,20.0,98.0,18.0,,,0.01,1,2,5,4
46,5155,2022-05-02,05:34:52,19.94,20.06,97.9,17.9,,,0.0,1,2,5,5
47,5156,2022-05-02,06:35:17,19.94,20.06,97.8,17.9,,,0.0,1,2,5,6
48,5157,2022-05-02,07:35:17,19.94,20.06,97.2,18.5,,,0.0,1,2,5,7
49,5158,2022-05-02,08:05:19,19.94,20.06,95.9,19.1,,,0.0,1,2,5,8
50,5159,2022-05-02,08:20:17,19.94,20.06,94.9,19.4,,,0.0,1,2,5,8
51,5160,2022-05-02,09:15:16,20.0,20.06,89.9,21.0,,,0.0,1,2,5,9
52,5161,2022-05-02,09:44:53,19.94,20.06,84.1,22.9,,,0.0,1,2,5,9
53,5162,2022-05-02,10:05:55,20.0,20.06,80.4,24.1,,,0.0,1,2,5,10
54,5163,2022-05-02,10:06:17,20.0,20.06,80.4,24.1,,,0.0,1,2,5,10
55,5164,2022-05-02,11:05:51,20.0,20.06,76.2,25.2,,,0.01,1,2,5,11
56,5165,2022-05-02,12:06:03,20.0,20.06,71.4,27.4,,,0.0,1,2,5,12
57,5166,2022-05-02,12:20:53,20.0,20.06,70.3,27.7,,,0.0,1,2,5,12
58,5167,2022-05-02,13:20:52,20.0,20.06,73.3,26.2,,,0.0,1,2,5,13
59,5168,2022-05-02,13:50:55,20.0,20.06,84.6,23.3,,,0.0,1,2,5,13
60,5169,2022-05-02,14:08:44,20.0,20.06,89.7,21.8,,,0.0,1,2,5,14
61,5170,2022-05-02,14:43:27,20.0,20.06,89.0,22.2,,,0.01,1,2,5,14
62,5171,2022-05-02,15:28:27,20.0,20.06,93.1,20.6,,,0.0,1,2,5,15
63,5172,2022-05-02,15:28:54,20.0,20.06,93.1,20.6,,,0.0,1,2,5,15
64,5173,2022-05-02,15:43:27,20.0,20.06,92.2,20.6,,,0.0,1,2,5,15
