fluid_temp_bn,fluid_temp,ground_temp,air_umidity,air_temp,gas_umidity,gas_temp,dm3_gas,bio_id,phase_test,Month,fluid_temp_start,fluid_temp_end
"(-0.85, 0.227]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.85,0.227
"(0.227, 1.304]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227,1.304
"(1.304, 2.381]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.304,2.381
"(2.381, 3.458]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.381,3.458
"(3.458, 4.535]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.458,4.535
"(4.535, 5.613]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.535,5.613
"(5.613, 6.69]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.613,6.69
"(6.69, 7.767]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.69,7.767
"(7.767, 8.844]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.767,8.844
"(8.844, 9.921]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.844,9.921
"(9.921, 10.998]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.921,10.998
"(10.998, 12.075]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.998,12.075
"(12.075, 13.152]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.075,13.152
"(13.152, 14.229]",14.054,14.848204081632653,94.03224489795919,14.036326530612245,84.61085714285714,14.016,0.0,1.0,0.0,8.0,13.152,14.229
"(14.229, 15.306]",14.95169979079498,15.122468619246861,86.3077928870293,13.607479079497908,87.8550093457944,13.118051217988757,5.230125523012553e-06,1.0,0.6527196652719666,6.902719665271967,14.229,15.306
"(15.306, 16.383]",15.686778405081158,15.694742413549754,87.28962597035991,14.711185603387438,84.85100221075902,14.523284023668639,0.0,1.0003528581510233,1.7275935074100213,6.406845448129852,15.306,16.383
"(16.383, 17.46]",16.762429620563037,16.859161566707467,87.24051407588739,14.186168910648716,77.63254940711462,14.468928220255654,2.4479804161566707e-05,1.0,1.5422276621787026,6.017135862913097,16.383,17.46
"(17.46, 18.538]",18.26235735735736,17.230555555555558,82.43018018018019,17.834084084084083,79.61348223350254,22.443065989847714,0.0007657657657657658,1.5995995995995995,1.8273273273273274,7.68018018018018,17.46,18.538
"(18.538, 19.615]",19.079547185780786,11.220880236986881,85.57308506136268,17.617520101565805,84.17212773998489,20.461538170823886,0.0004676258992805755,1.430808294540838,1.607278882776132,7.5249682606855695,18.538,19.615
"(19.615, 20.692]",20.03498693152117,3.5339231573444847,82.01735493988501,19.64404077365395,82.88665094339623,22.90323506289308,0.0006481965499215891,1.4427600627286983,1.5253528489283847,8.836382645060114,19.615,20.692
"(20.692, 21.769]",21.34241602965022,21.323710910354414,80.26812601343525,21.444521658559186,81.07450714285714,26.997353149327672,0.0004285383368079685,1.2684734769515869,1.4741718786194116,7.741487143849896,20.692,21.769
"(21.769, 22.846]",22.291821000855432,21.825759195893927,84.37929854576561,21.92085115483319,85.02879712746858,25.41661566156616,0.0007763045337895637,1.583404619332763,1.3619546621043628,4.952095808383233,21.769,22.846
"(22.846, 23.923]",23.282239103101425,22.66898155909472,82.97619446772842,23.379337803855826,85.79519110493398,24.81233495482974,0.0006967728415758593,1.6155699916177704,1.2979882648784578,3.0545892707460185,22.846,23.923
"(23.923, 25.0]",24.107875816993463,23.877578068264345,88.04313725490195,22.979847494553375,84.31906742281032,25.247240075614368,0.001899055918663762,1.4237472766884531,1.9052287581699345,2.810457516339869,23.923,25.0
