fluid_temp,air_umidity,dm3_gas
18.9425,94.35,0.0
20.09,95.9,0.0
21.563333333333333,99.5,0.0
17.13,93.9,0.005
22.439999999999998,91.6,0.0
20.28,91.0,0.0
20.975,96.6,0.0
20.534,96.6,0.002
16.78,94.9,0.0
21.035,95.4,0.005
24.125,95.9,0.0
20.25,97.4,0.0
14.31,90.3,0.0
22.564999999999998,89.5,0.0
22.0,94.6,0.0
17.13,93.9,0.005
22.5,92.7,0.0
-52.905,88.2,0.0
21.771666666666665,92.7,0.0
23.465,88.7,0.0
22.22,98.1,0.0
-53.0,86.7,0.0
21.655,94.4,0.005
22.28,95.9,0.0
20.162,94.08,0.0
19.25,92.2,0.0
20.125,95.6,0.005
24.06,90.6,0.0
23.0925,94.9,0.0
16.72,96.2,0.0
23.845,97.9,0.0
19.25,91.2,0.0
23.314999999999998,92.7,0.0
17.88,90.9,0.0
22.625,91.1,0.0
15.31,91.8,0.0
23.25,91.7,0.0
23.2475,96.3,0.0
16.845,96.1,0.0
21.259999999999998,96.4,0.0
22.313333333333333,94.16666666666667,0.0
15.0,84.2,0.0
15.31,87.6,0.0
21.82,99.2,0.0
15.5,85.0,0.0
-14.862499999999997,94.1,0.0
21.134999999999998,90.5,0.0
18.4675,95.5,0.0
20.87,76.6,0.0
19.59,91.4,0.0
19.52333333333333,90.86666666666667,0.0
20.752000000000002,90.68,0.0
20.5,90.66666666666667,0.0
22.53,99.4,0.0
19.375,96.9,0.0
23.815,97.8,0.0
22.06,94.0,0.0
23.810000000000002,96.2,0.0
21.436666666666667,93.7,0.0
21.82,98.9,0.0
20.0925,91.9,0.0
23.345,91.3,0.0
19.19,91.6,0.0
17.643333333333334,95.03333333333335,0.0
17.53,99.9,0.0
23.060000000000002,93.7,0.0
23.375,99.9,0.0
22.56,97.2,0.0
22.41,98.6,0.0
19.58666666666667,97.8,0.0
17.2025,99.4,0.0
23.065,90.7,0.0
22.5125,95.44999999999999,0.0
20.46,92.0,0.0
15.56,95.4,0.0
15.62,95.2,0.0
22.095,95.1,0.0
-52.6875,91.2,0.0
-52.69,95.7,0.0
15.69,92.8,0.0
22.215,93.8,0.0
20.375,87.0,0.0
23.405,93.4,0.0
23.375,91.4,0.0
21.04,94.5,0.005
23.03,93.2,0.0
23.655,98.0,0.0
22.2675,96.65,0.0
23.875,95.7,0.0
24.03,94.7,0.0
17.28,98.7,0.0
24.060000000000002,93.9,0.0
21.4675,91.19999999999999,0.0
17.38,94.2,0.0
23.19,94.4,0.0
-52.75,89.9,0.0
22.47,94.6,0.0
20.924999999999997,96.0,0.005
22.375,92.6,0.0
14.56,90.2,0.0
23.78,93.75,0.0
19.375,94.5,0.0
24.0,97.9,0.0
14.12,94.2,0.0
22.095,96.2,0.0
14.19,96.3,0.0
21.89,98.5,0.0
23.405,89.8,0.0
23.314999999999998,91.0,0.0
22.345,90.25,0.0
20.19,94.9,0.0
17.31,93.5,0.0
21.97,96.5,0.0
20.646666666666665,93.7,0.0
19.53,92.2,0.0
22.47,95.3,0.0
22.875,91.4,0.0
15.75,82.3,0.0
16.0,85.0,0.0
22.905,90.7,0.0
20.72,92.9,0.0
21.240000000000002,71.2,0.0
18.155,99.9,0.005
14.75,98.2,0.0
16.0,94.4,0.0
15.56,95.2,0.0
21.61,99.7,0.0
15.31,90.7,0.0
21.905,99.9,0.0
15.5,69.0,0.0
18.155,99.9,0.005
16.75,92.5,0.0
21.065,99.9,0.0
21.22,93.8,0.0
13.81,96.6,0.0
21.53,74.0,0.0
18.155,99.9,0.005
22.5,96.7,0.0
20.185000000000002,89.9,0.0
18.88,97.7,0.0
22.595,90.4,0.0
21.875,99.9,0.0
19.56,92.6,0.0
24.0,97.5,0.0
16.44,69.8,0.0
22.535,93.5,0.0
16.81,90.6,0.0
19.19,92.8,0.0
21.456666666666667,96.3,0.0
-52.75,86.0,0.0
20.69,91.5,0.0
16.69,94.0,0.0
15.12,92.7,0.0
15.06,94.5,0.0
18.25,93.3,0.0
19.698,94.17999999999999,0.0
22.75,92.5,0.0
18.125,99.9,0.0
21.0475,98.35,0.0
17.146666666666665,95.3,0.0
22.215,98.2,0.0
23.845,97.2,0.0
18.625,99.9,0.0
24.03,92.2,0.0
-52.75,95.3,0.0
18.845,96.1,0.0
19.22,90.5,0.0
19.5,89.0,0.0
14.5,95.2,0.0
19.06,94.7,0.0
20.959999999999997,93.26666666666667,0.0
14.88,94.0,0.0
14.94,94.2,0.0
14.94,93.6,0.0
22.03,98.9,0.0
16.75,98.0,0.0
15.19,94.9,0.0
22.83,97.3,0.0
22.095,86.1,0.0
17.47,99.9,0.005
18.88,93.6,0.0
18.97,91.8,0.0
18.31,95.8,0.0
23.345,92.1,0.0
19.19,91.6,0.0
23.595,93.1,0.0
19.06,89.7,0.0
15.0,94.9,0.0
22.175,97.4,0.0
17.375,99.3,0.0
22.41,99.9,0.0
20.125,98.2,0.0
16.9525,97.1,0.0
15.38,93.2,0.0
22.685000000000002,88.5,0.0
21.81,91.7,0.0
22.935000000000002,96.0,0.0
18.247500000000002,93.30000000000001,0.0
19.634999999999998,91.0,0.0
19.17,96.85,0.0
18.31,99.9,0.0
23.189999999999998,99.9,0.0
20.09,95.7,0.005
20.83,98.9,0.0
22.439999999999998,91.7,0.0
20.6275,94.25,0.0
21.035,95.5,0.0
22.91,96.1,0.0
15.19,93.0,0.0
15.81,94.1,0.0
24.125,96.2,0.0
14.31,90.7,0.0
15.12,92.5,0.0
22.2975,92.15,0.0
17.47,97.9,0.005
22.5,93.4,0.0
-52.905,88.7,0.0
22.5475,92.94999999999999,0.0
20.22,92.9,0.0
22.8425,93.65,0.0
16.75,90.8,0.0
17.310000000000002,99.2,0.0
-53.0,87.0,0.0
22.28,95.7,0.0
16.715,98.1,0.0
21.97,94.8,0.0
16.81,90.9,0.0
20.03,78.7,0.0
16.0,94.2,0.0
24.06,91.4,0.0
24.06,91.4,0.005
20.875,96.4,0.0
23.0775,94.95,0.0
23.845,98.3,0.0
22.72,97.0,0.0
24.06,91.4,0.005
23.314999999999998,92.5,0.0
22.625,91.6,0.0
15.31,92.9,0.0
17.19,95.6,0.0
23.155,95.8,0.0
23.34,97.2,0.0
23.25,91.7,0.0
23.9675,94.15,0.0
15.0,84.1,0.0
22.22,98.6,0.0
15.5,86.0,0.0
23.12,97.4,0.0
21.134999999999998,90.5,0.0
-52.845,90.8,0.0
18.655,94.8,0.0
19.9675,93.55,0.0
19.845,90.9,0.0
22.697499999999998,94.0,0.0
21.785,98.8,0.0
17.185,88.25,0.0
21.688333333333333,97.39999999999999,0.0033333333333333335
23.815,97.5,0.0
22.095,96.0,0.0
23.189999999999998,97.7,0.005
23.84,96.1,0.0
22.5,96.2,0.0
21.1925,94.1,0.0
19.655,94.5,0.0
21.689999999999998,98.8,0.0
23.2175,96.65,0.0
22.56,97.5,0.0
22.375,99.6,0.0
21.689999999999998,98.8,0.005
22.41,98.7,0.0
21.94,99.7,0.0
20.939999999999998,97.0,0.0
16.815,99.4,0.0
15.44,96.9,0.0
23.405,96.9,0.0
23.03,91.0,0.0
22.310000000000002,92.35,0.0
21.62,95.4,0.0
17.25,96.9,0.005
21.8575,95.1,0.0025
15.69,92.7,0.0
-52.72,88.2,0.0
15.62,94.8,0.0
19.25,91.6,0.0
-52.69,95.7,0.0
15.56,95.6,0.0
17.0,96.0,0.0
21.685000000000002,95.6,0.005
22.215,94.1,0.0
20.375,87.3,0.0
23.405,92.9,0.0
23.375,91.8,0.0
18.41,98.2,0.0
23.03,93.0,0.0
20.924999999999997,96.0,0.0
23.845,96.30000000000001,0.0
23.875,95.6,0.0
20.655,96.8,0.0
21.752499999999998,93.05000000000001,0.0025
24.060000000000002,94.4,0.0
23.435,90.6,0.0
24.03,94.8,0.005
22.333333333333332,93.46666666666665,0.0033333333333333335
17.185,94.7,0.0
21.273333333333333,95.10000000000001,0.0
-16.86,92.85,0.0
24.035,94.4,0.005
23.2175,93.80000000000001,0.0025
24.03,94.8,0.005
14.56,90.3,0.0
24.060000000000002,94.4,0.005
23.375,89.9,0.0
24.215,97.4,0.0
19.375,94.8,0.0
17.19,95.2,0.0
14.19,96.2,0.0
22.095,95.7,0.0
23.405,89.9,0.0
23.314999999999998,91.0,0.0
22.345,93.2,0.0
22.375,87.4,0.0
14.12,96.1,0.0
19.06,89.7,0.0
20.19,94.6,0.0
19.19,90.6,0.0
21.94,96.7,0.0
22.5,93.3,0.0
19.5,92.2,0.0
16.94,94.7,0.0
17.31,93.6,0.0
22.47,95.0,0.0
22.845,92.8,0.0
15.75,83.0,0.0
22.905,90.4,0.0
20.72,93.1,0.0
21.240000000000002,68.7,0.0
-30.293333333333333,90.56666666666666,0.0
15.06,96.1,0.0
18.560000000000002,95.6,0.0
21.61,99.4,0.0
16.0,94.4,0.0
18.560000000000002,95.6,0.005
15.31,89.9,0.0
21.905,99.9,0.0
16.69,93.1,0.0
15.5,67.5,0.0
21.22,93.9,0.0
23.345,96.1,0.0
21.53,72.8,0.0
22.97,99.9,0.0
22.97,99.9,0.005
20.185000000000002,90.0,0.0
18.81,97.8,0.0
23.2025,99.1,0.0025
22.235,94.15,0.0
19.56,92.7,0.0
24.0,97.4,0.0
20.845,99.1,0.0
16.81,90.9,0.0
23.78,97.7,0.0
-52.75,86.2,0.0
16.69,93.7,0.0
21.66,96.8,0.0
15.06,95.1,0.0
17.0,94.7,0.0
18.25,93.1,0.0
17.095,96.2,0.0
22.060000000000002,95.0,0.0
19.715,93.0,0.0
14.94,94.1,0.0
17.560000000000002,99.9,0.0
22.765,92.65,0.0
20.125,99.9,0.0
20.315,98.2,0.0
17.125,96.3,0.0
22.25,98.2,0.0
23.845,97.3,0.0
18.595,99.9,0.0
21.2025,94.7,0.0025
23.845,97.3,0.005
-52.75,96.1,0.0
24.03,93.0,0.005
19.5,89.2,0.0
19.185000000000002,90.6,0.0
18.845,96.1,0.0
14.5,95.1,0.0
20.85666666666667,96.26666666666667,0.0033333333333333335
19.06,94.8,0.0
19.646666666666665,94.46666666666665,0.0
24.03,93.0,0.005
15.19,93.4,0.0
14.94,93.8,0.0
19.686666666666667,97.66666666666667,0.0
16.75,97.6,0.0
23.0,96.8,0.0
22.377499999999998,92.4,0.0
21.189999999999998,98.4,0.0
18.88,94.1,0.0
17.125,97.6,0.0
18.97,92.4,0.0
18.31,96.1,0.0
23.345,93.8,0.0
23.565,92.9,0.0
19.25,91.8,0.0
22.189999999999998,99.0,0.0
15.0,94.0,0.0
20.0,97.75,0.0
22.41,99.9,0.0
20.8125,98.05,0.0
16.75,98.4,0.0
15.38,93.7,0.0
22.46666666666667,92.66666666666667,0.0
18.247500000000002,93.25,0.0
17.13,94.5,0.0
17.923333333333332,91.66666666666667,0.0
19.17,96.75,0.0
18.31,99.9,0.0
23.22,99.9,0.0
22.439999999999998,92.6,0.0
20.6275,94.35,0.0
15.88,93.8,0.0
15.19,93.1,0.0
22.94,95.2,0.0
16.78,95.0,0.0
22.53,98.0,0.005
22.1875,96.8,0.0
14.31,91.3,0.0
22.595,88.7,0.0
22.0,95.5,0.0
15.12,93.2,0.0
17.28,98.8,0.005
-52.905,88.8,0.0
21.5625,95.6,0.0
21.3925,91.0,0.0
23.5,88.5,0.0
21.1725,97.35,0.0
16.75,90.6,0.0
21.655,94.3,0.0
-53.0,87.2,0.0
22.28,95.5,0.0
21.97,95.2,0.0
18.956666666666667,94.09999999999998,0.0
20.03,79.7,0.0
15.94,94.3,0.0
21.189999999999998,98.7,0.005
20.26,96.26666666666667,0.0
22.97,93.5,0.0
19.06,90.3,0.0
23.189999999999998,91.8,0.0
23.2825,97.9,0.0
19.19,91.4,0.0
23.314999999999998,92.6,0.0
21.655,95.05,0.0
22.72,97.4,0.005
15.25,92.6,0.0
24.06,91.8,0.0
23.155,94.7,0.0
23.285,91.7,0.0
23.34,97.3,0.0
19.31,90.7,0.0
22.552500000000002,96.55,0.0
15.31,86.9,0.0
20.045,98.95,0.0025
21.82,99.2,0.005
22.1275,93.85,0.0
-15.112499999999997,94.35,0.0025
18.28,97.3,0.0
18.655,94.8,0.0
20.345,95.8,0.0
19.59,91.4,0.0
21.7325,96.65,0.0
19.845,90.6,0.0
18.983333333333334,87.0,0.0
20.48,91.39999999999999,0.0
22.53,99.7,0.0
19.345,95.9,0.0
19.345,95.9,0.005
23.815,97.6,0.0
22.095,94.0,0.0
23.810000000000002,96.3,0.0
22.5,96.5,0.0
19.655,95.0,0.0
20.564999999999998,89.4,0.0
21.689999999999998,98.6,0.0
16.935,95.6,0.005
18.28,96.5,0.005
16.935,98.8,0.0
17.53,99.9,0.0
23.060000000000002,94.0,0.0
22.375,99.4,0.0
19.564999999999998,97.80000000000001,0.0
20.990000000000002,99.9,0.0
19.58666666666667,97.60000000000001,0.0
23.03,92.0,0.0
23.405,97.0,0.0
21.400000000000002,97.15,0.0
23.0,90.9,0.0
15.62,94.9,0.0
17.0,97.2,0.0
15.56,95.8,0.0
22.125,95.7,0.0
-52.72,87.8,0.0
-52.69,95.7,0.0
15.62,92.9,0.0
17.44,99.9,0.0
22.25,94.0,0.0
20.375,87.6,0.0
23.405,92.5,0.0
18.285,95.4,0.0
23.375,92.1,0.0
18.41,98.2,0.0
22.0925,98.35,0.0025
23.03,93.3,0.0
20.924999999999997,96.8,0.0
24.035,94.9,0.0
23.905,95.9,0.0
24.03,95.3,0.0
19.47,92.3,0.0
24.060000000000002,94.8,0.0
23.19,95.5,0.0
-52.75,90.6,0.0
19.0,95.6,0.0
19.0,95.6,0.005
22.375,94.1,0.0
23.375,89.7,0.0
21.7975,95.75,0.0
17.19,95.5,0.0
22.095,95.6,0.0
14.19,96.4,0.0
23.72,99.9,0.0
19.0,95.6,0.005
23.405,90.2,0.0
23.314999999999998,91.4,0.0
22.345,93.6,0.0
22.375,89.0,0.0
14.12,96.5,0.0
19.25,93.1,0.0
20.19,94.2,0.0
21.94,97.3,0.0
22.5,94.2,0.0
19.53,92.1,0.0
16.94,94.4,0.0
22.875,92.8,0.0
22.47,95.0,0.0
15.75,84.6,0.0
22.905,92.2,0.0
20.72,92.2,0.0
21.240000000000002,67.0,0.0
-30.293333333333333,91.13333333333333,0.0
15.780000000000001,95.05,0.0
19.25,90.2,0.0
21.905,99.9,0.0
15.31,89.4,0.0
16.75,93.3,0.0
21.065,99.9,0.0
22.676666666666666,96.2,0.0016666666666666668
21.53,72.0,0.0
18.155,99.9,0.0
18.560000000000002,97.4,0.0
22.97,99.9,0.0
22.5,96.5,0.0
18.637999999999998,92.82000000000001,0.0
18.75,97.1,0.0
21.875,99.9,0.0
22.595,89.5,0.0
19.56,92.1,0.0
24.0,97.6,0.0
20.845,98.9,0.0
16.44,73.4,0.0
16.81,91.0,0.0
23.78,97.9,0.005
22.564999999999998,96.0,0.0
-52.75,86.6,0.0
19.35666666666667,92.7,0.0033333333333333335
15.12,94.1,0.0
15.06,92.6,0.0
21.22,97.9,0.0
17.0,95.4,0.0
19.06,90.7,0.0
23.435,98.2,0.005
17.169999999999998,93.46666666666665,0.0
20.25625,94.675,0.0
19.19,91.2,0.0
23.405,92.3,0.0
21.78,98.6,0.0
20.315,98.0,0.0
17.125,95.4,0.0
18.375,96.7,0.0
14.88,92.2,0.0
22.25,98.3,0.0
23.845,97.1,0.0
18.53,99.9,0.0
24.03,92.9,0.0
-52.75,96.6,0.0
19.185000000000002,90.5,0.0
19.5,89.1,0.0
14.56,95.0,0.0
19.06,94.9,0.0
19.603333333333335,93.83333333333333,0.0
14.94,93.5,0.0
22.03,99.5,0.0
16.23,96.3,0.0
16.939999999999998,95.0,0.0
22.66,97.5,0.0
22.5475,91.95,0.0
21.725,99.8,0.0
18.88,93.2,0.0
18.97,93.0,0.0
23.345,94.1,0.0
23.564999999999998,93.8,0.0
20.015,99.45,0.0
22.16,96.0,0.0
22.41,99.9,0.0
17.375,99.4,0.005
20.125,98.4,0.0
17.185,96.5,0.0
15.25,93.6,0.0
21.81,92.7,0.0
22.655,89.7,0.0
22.935000000000002,96.5,0.0
19.560000000000002,91.3,0.0
19.634999999999998,92.5,0.0
18.22,98.1,0.0
17.28,99.0,0.0
21.563333333333333,99.90000000000002,0.0
20.939999999999998,96.7,0.0
20.83,99.5,0.0
17.375,99.4,0.005
21.7075,94.3,0.0
20.28,93.0,0.0
20.543333333333333,94.60000000000001,0.0
16.25,94.03333333333335,0.0
20.25,97.5,0.0
24.125,95.9,0.0
14.38,91.0,0.0
22.906666666666666,93.33333333333333,0.0016666666666666668
15.12,92.4,0.0
19.955,95.0,0.0
-8.325999999999999,90.0,0.0
20.22,93.6,0.0
23.5,89.7,0.0
